McDonald/IGRINS Observation Log - K BAND
FILENAME,OBJNAME,OBSERVER,OBJTYPE,OBSDATE,OBSTIME,EXPTIME,FRAMETYPE,SEQID1,SEQID2,ALT,AZI,RA,DEC,EPOCH,AGPOS,ROTPA
SDCK_20140314_001.fits,,,CAL,20140314,21:20:05,2.0,,1,1,,,,,,A,
SDCK_20140314_002.fits,,,CAL,20140314,21:20:28,2.0,,1,1,,,,,,A,
SDCK_20140314_003.fits,,,CAL,20140314,21:27:19,300.0,,1,1,,,,,,A,
SDCK_20140314_004.fits,,,CAL,20140314,21:50:58,5.0,,1,1,,,,,,A,
SDCK_20140314_005.fits,,,CAL,20140314,21:52:34,5.0,,1,1,,,,,,A,
SDCK_20140314_006.fits,,,CAL,20140314,22:00:29,5.0,,1,1,,,,,,A,
SDCK_20140314_007.fits,,,CAL,20140314,22:04:04,150.0,,1,1,,,,,,A,
SDCK_20140314_008.fits,Betelguese,,TAR,20140314,22:27:57,1.6,,1,1,,,,,,A,
SDCK_20140314_009.fits,Betelguese,,TAR,20140314,22:28:41,1.6,,1,1,,,,,,A,
SDCK_20140314_010.fits,Betelguese,,TAR,20140314,22:32:19,1.6,,1,1,,,,,,A,
SDCK_20140314_011.fits,Betelguese,,TAR,20140314,22:36:59,1.6,,1,1,,,,,,A,
SDCK_20140314_012.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:00:15,1.6,,1,1,,,,,,A,
SDCK_20140314_013.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:01:24,20.0,,1,1,,,,,,A,
SDCK_20140314_014.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:11:52,20.0,,1,1,,,,,,A,
SDCK_20140314_015.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:12:54,20.0,,1,1,,,,,,A,
SDCK_20140314_016.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:13:41,20.0,,1,1,,,,,,A,
SDCK_20140314_017.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:15:28,20.0,,1,1,,,,,,A,
SDCK_20140314_018.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:30:08,10.0,,1,1,,,,,,A,
SDCK_20140314_019.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:31:03,10.0,,1,1,,,,,,A,
SDCK_20140314_020.fits,85_Gem,IGRINS_Team,TAR,20140314,23:34:52,30.0,,1,1,,,,,,A,
SDCK_20140314_021.fits,85_Gem,IGRINS_Team,TAR,20140314,23:36:07,30.0,,1,1,,,,,,A,
SDCK_20140314_022.fits,85_Gem,IGRINS_Team,TAR,20140314,23:37:10,30.0,,1,1,,,,,,A,
SDCK_20140314_023.fits,85_Gem,IGRINS_Team,TAR,20140314,23:38:44,30.0,,1,1,,,,,,A,
SDCK_20140314_024.fits,Sky,IGRINS_Team,TEST,20140314,23:55:51,30.0,,1,1,,,,,,A,
SDCK_20140314_025.fits,Sky,IGRINS_Team,TEST,20140315,00:01:40,300.0,,1,1,,,,,,A,
SDCK_20140314_026.fits,Regulus,IGRINS_Team,TAR,20140315,00:11:52,30.0,,1,1,,,,,,A,
SDCK_20140314_027.fits,,,CAL,20140315,01:09:03,3.0,,1,1,,,,,,A,
SDCK_20140314_028.fits,,,CAL,20140315,01:09:49,3.0,,1,1,,,,,,A,
SDCK_20140314_029.fits,,,CAL,20140315,01:10:19,3.0,,1,1,,,,,,A,
SDCK_20140314_030.fits,,,CAL,20140315,01:10:35,3.0,,1,1,,,,,,A,
SDCK_20140314_031.fits,,,CAL,20140315,01:11:20,3.0,,1,1,,,,,,A,
SDCK_20140314_032.fits,,,CAL,20140315,01:11:35,3.0,,1,1,,,,,,A,
SDCK_20140314_033.fits,,,CAL,20140315,01:12:06,3.0,,1,1,,,,,,A,
SDCK_20140314_034.fits,,,CAL,20140315,01:12:36,3.0,,1,1,,,,,,A,
SDCK_20140314_035.fits,,,CAL,20140315,01:13:06,3.0,,1,1,,,,,,A,
SDCK_20140314_036.fits,,,CAL,20140315,01:13:37,3.0,,1,1,,,,,,A,
SDCK_20140314_037.fits,Sky,IGRINS_Team,TAR,20140315,04:33:48,20.0,,1,1,,,,,,A,
