McDonald/IGRINS Observation Log - H BAND
FILENAME,OBJNAME,OBSERVER,OBJTYPE,OBSDATE,OBSTIME,EXPTIME,FRAMETYPE,SEQID1,SEQID2,ALT,AZI,RA,DEC,EPOCH,AGPOS,ROTPA
SDCH_20140314_001.fits,,,CAL,20140314,21:20:05,2.0,,1,1,,,,,,A,
SDCH_20140314_002.fits,,,CAL,20140314,21:20:42,2.0,,1,1,,,,,,A,
SDCH_20140314_003.fits,,,CAL,20140314,21:27:33,300.0,,1,1,,,,,,A,
SDCH_20140314_004.fits,,,CAL,20140314,21:50:57,5.0,,1,1,,,,,,A,
SDCH_20140314_005.fits,,,CAL,20140314,21:52:51,5.0,,1,1,,,,,,A,
SDCH_20140314_006.fits,,,CAL,20140314,22:00:28,5.0,,1,1,,,,,,A,
SDCH_20140314_007.fits,,,CAL,20140314,22:04:03,150.0,,1,1,,,,,,A,
SDCH_20140314_008.fits,Betelguese,,TAR,20140314,22:27:57,1.6,,1,1,,,,,,A,
SDCH_20140314_009.fits,Betelguese,,TAR,20140314,22:28:58,1.6,,1,1,,,,,,A,
SDCH_20140314_010.fits,Betelguese,,TAR,20140314,22:32:19,1.6,,1,1,,,,,,A,
SDCH_20140314_011.fits,Betelguese,,TAR,20140314,22:36:58,1.6,,1,1,,,,,,A,
SDCH_20140314_012.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:00:14,1.6,,1,1,,,,,,A,
SDCH_20140314_013.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:01:23,20.0,,1,1,,,,,,A,
SDCH_20140314_014.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:11:51,20.0,,1,1,,,,,,A,
SDCH_20140314_015.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:12:53,20.0,,1,1,,,,,,A,
SDCH_20140314_016.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:13:41,20.0,,1,1,,,,,,A,
SDCH_20140314_017.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:15:28,20.0,,1,1,,,,,,A,
SDCH_20140314_018.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:30:08,10.0,,1,1,,,,,,A,
SDCH_20140314_019.fits,eta_Cnc,IGRINS_Team,TAR,20140314,23:31:02,10.0,,1,1,,,,,,A,
SDCH_20140314_020.fits,85_Gem,IGRINS_Team,TAR,20140314,23:35:09,30.0,,1,1,,,,,,A,
SDCH_20140314_021.fits,85_Gem,IGRINS_Team,TAR,20140314,23:36:06,30.0,,1,1,,,,,,A,
SDCH_20140314_022.fits,85_Gem,IGRINS_Team,TAR,20140314,23:37:10,30.0,,1,1,,,,,,A,
SDCH_20140314_023.fits,85_Gem,IGRINS_Team,TAR,20140314,23:38:43,30.0,,1,1,,,,,,A,
SDCH_20140314_024.fits,Sky,IGRINS_Team,TEST,20140314,23:55:50,30.0,,1,1,,,,,,A,
SDCH_20140314_025.fits,Sky,IGRINS_Team,TEST,20140315,00:01:39,300.0,,1,1,,,,,,A,
SDCH_20140314_026.fits,Regulus,IGRINS_Team,TAR,20140315,00:11:51,30.0,,1,1,,,,,,A,
SDCH_20140314_027.fits,,,CAL,20140315,01:09:18,3.0,,1,1,,,,,,A,
SDCH_20140314_028.fits,,,CAL,20140315,01:09:48,3.0,,1,1,,,,,,A,
SDCH_20140314_029.fits,,,CAL,20140315,01:10:18,3.0,,1,1,,,,,,A,
SDCH_20140314_030.fits,,,CAL,20140315,01:10:49,3.0,,1,1,,,,,,A,
SDCH_20140314_031.fits,,,CAL,20140315,01:11:19,3.0,,1,1,,,,,,A,
SDCH_20140314_032.fits,,,CAL,20140315,01:11:50,3.0,,1,1,,,,,,A,
SDCH_20140314_033.fits,,,CAL,20140315,01:12:20,3.0,,1,1,,,,,,A,
SDCH_20140314_034.fits,,,CAL,20140315,01:12:51,3.0,,1,1,,,,,,A,
SDCH_20140314_035.fits,,,CAL,20140315,01:13:21,3.0,,1,1,,,,,,A,
SDCH_20140314_036.fits,,,CAL,20140315,01:13:51,3.0,,1,1,,,,,,A,
SDCH_20140314_037.fits,Sky,IGRINS_Team,TAR,20140315,04:33:48,20.0,,1,1,,,,,,A,
SDCH_20140314_038.fits,Sky,IGRINS_Team,TAR,20140315,04:37:01,100.0,,1,1,,,,,,A,
SDCH_20140314_039.fits,Sky,IGRINS_Team,TAR,20140315,04:45:16,300.0,,1,1,,,,,,A,
