McDonald/IGRINS Observation Log - H BAND
FILENAME,OBJNAME,OBSERVER,OBJTYPE,OBSDATE,OBSTIME,EXPTIME,FRAMETYPE,SEQID1,SEQID2,ALT,AZI,RA,DEC,EPOCH,AGPOS,ROTPA
SDCH_20140317_0001.fits,TEST,,TAR,20140317,14:29:24,1.6,,1,1,,,,,,A,
SDCH_20140317_0002.fits,TEST,,TAR,20140317,14:31:02,1.6,,1,1,,,,,,A,
SDCH_20140317_0003.fits,TEST,,TAR,20140317,14:31:27,1.6,,1,1,,,,,,A,
SDCH_20140317_0004.fits,TEST,,TAR,20140317,14:31:51,1.6,,1,1,,,,,,A,
SDCH_20140317_0005.fits,TEST,,TAR,20140317,14:32:16,1.6,,1,1,,,,,,A,
SDCH_20140317_0006.fits,TEST,,TAR,20140317,14:32:41,1.6,,1,1,,,,,,A,
SDCH_20140317_0007.fits,TEST,,TAR,20140317,14:33:29,1.6,,1,1,,,,,,A,
SDCH_20140317_0008.fits,TEST,,TAR,20140317,14:33:52,1.6,,1,1,,,,,,A,
SDCH_20140317_0009.fits,TEST,,TAR,20140317,14:34:17,1.6,,1,1,,,,,,A,
SDCH_20140317_0010.fits,TEST,,TAR,20140317,14:34:42,1.6,,1,1,,,,,,A,
SDCH_20140317_0011.fits,TEST,,TAR,20140317,14:35:06,1.6,,1,1,,,,,,A,
SDCH_20140317_0012.fits,TEST,,TAR,20140317,14:41:38,1.6,,1,1,,,,,,A,
SDCH_20140317_0013.fits,TEST,,TAR,20140317,14:42:02,1.6,,1,1,,,,,,A,
SDCH_20140317_0014.fits,TEST,,TAR,20140317,14:42:26,1.6,,1,1,,,,,,A,
SDCH_20140317_0015.fits,TEST,,TAR,20140317,14:42:51,1.6,,1,1,,,,,,A,
SDCH_20140317_0016.fits,TEST,,TAR,20140317,14:43:15,1.6,,1,1,,,,,,A,
SDCH_20140317_0017.fits,TEST,,TAR,20140317,14:43:40,1.6,,1,1,,,,,,A,
SDCH_20140317_0018.fits,TEST,,TAR,20140317,14:44:05,1.6,,1,1,,,,,,A,
SDCH_20140317_0019.fits,TEST,,TAR,20140317,14:44:28,1.6,,1,1,,,,,,A,
SDCH_20140317_0020.fits,TEST,,TAR,20140317,14:44:53,1.6,,1,1,,,,,,A,
SDCH_20140317_0021.fits,TEST,,TAR,20140317,14:45:18,1.6,,1,1,,,,,,A,
SDCH_20140317_0022.fits,TEST,,TAR,20140317,14:45:41,1.6,,1,1,,,,,,A,
SDCH_20140317_0023.fits,TEST,,TAR,20140317,14:46:05,1.6,,1,1,,,,,,A,
SDCH_20140317_0024.fits,TEST,,TAR,20140317,14:46:29,1.6,,1,1,,,,,,A,
SDCH_20140317_0025.fits,TEST,,TAR,20140317,14:46:54,1.6,,1,1,,,,,,A,
SDCH_20140317_0026.fits,TEST,,TAR,20140317,14:47:17,1.6,,1,1,,,,,,A,
SDCH_20140317_0027.fits,TEST,,TAR,20140317,14:47:42,1.6,,1,1,,,,,,A,
SDCH_20140317_0028.fits,TEST,,TAR,20140317,14:48:06,1.6,,1,1,,,,,,A,
SDCH_20140317_0029.fits,TEST,,TAR,20140317,14:48:31,1.6,,1,1,,,,,,A,
SDCH_20140317_0030.fits,TEST,,TAR,20140317,14:48:56,1.6,,1,1,,,,,,A,
SDCH_20140317_0031.fits,TEST,,TAR,20140317,14:49:21,1.6,,1,1,,,,,,A,
SDCH_20140317_0032.fits,TEST,,TAR,20140317,14:49:44,1.6,,1,1,,,,,,A,
SDCH_20140317_0033.fits,TEST,,TAR,20140317,14:50:09,1.6,,1,1,,,,,,A,
SDCH_20140317_0034.fits,TEST,,TAR,20140317,14:50:34,1.6,,1,1,,,,,,A,
SDCH_20140317_0035.fits,TEST,,TAR,20140317,14:51:01,1.6,,1,1,,,,,,A,
SDCH_20140317_0036.fits,TEST,,CAL,20140317,14:57:10,1.6,,1,1,,,,,,A,
SDCH_20140317_0037.fits,TEST,,CAL,20140317,14:57:39,1.6,,1,1,,,,,,A,
SDCH_20140317_0038.fits,TEST,,CAL,20140317,14:58:04,1.6,,1,1,,,,,,A,
SDCH_20140317_0039.fits,TEST,,CAL,20140317,14:58:27,1.6,,1,1,,,,,,A,
SDCH_20140317_0040.fits,,,CAL,20140317,18:59:28,1.6,,1,1,,,,,,A,
SDCH_20140317_0041.fits,,,CAL,20140317,20:34:46,1.6,,1,1,,,,,,A,
SDCH_20140317_0042.fits,,,CAL,20140317,20:48:24,1.6,,1,1,,,,,,A,
SDCH_20140317_0043.fits,,,CAL,20140317,21:39:48,1.6,,1,1,,,,,,A,
SDCH_20140317_0044.fits,,,CAL,20140317,21:41:22,1.6,,1,1,,,,,,A,
SDCH_20140317_0045.fits,,,CAL,20140317,21:41:53,1.6,,1,1,,,,,,A,
SDCH_20140317_0046.fits,,,CAL,20140317,21:47:08,2.0,,1,1,,,,,,A,
