McDonald/IGRINS Observation Log - H BAND
FILENAME,OBJNAME,OBSERVER,OBJTYPE,OBSDATE,OBSTIME,EXPTIME,FRAMETYPE,SEQID1,SEQID2,ALT,AZI,RA,DEC,EPOCH,AGPOS,ROTPA
SDCH_20140318_0001.fits,,,CAL,20140318,13:25:04,1.6,,1,1,,,,,,A,
SDCH_20140318_0002.fits,,,CAL,20140318,13:38:34,1.6,,1,1,,,,,,A,
SDCH_20140318_0003.fits,,,CAL,20140318,13:39:21,1.6,,1,1,,,,,,A,
SDCH_20140318_0004.fits,,,CAL,20140318,13:40:31,1.6,,1,1,,,,,,A,
SDCH_20140318_0005.fits,,,CAL,20140318,13:41:25,1.6,,1,1,,,,,,A,
SDCH_20140318_0006.fits,,,CAL,20140318,13:41:53,1.6,,1,1,,,,,,A,
SDCH_20140318_0007.fits,,,CAL,20140318,13:42:20,1.6,,1,1,,,,,,A,
SDCH_20140318_0008.fits,,,CAL,20140318,13:43:33,1.6,,1,1,,,,,,A,
SDCH_20140318_0009.fits,,,CAL,20140318,13:43:58,1.6,,1,1,,,,,,A,
SDCH_20140318_0010.fits,,,CAL,20140318,13:44:21,1.6,,1,1,,,,,,A,
SDCH_20140318_0011.fits,,,CAL,20140318,13:55:08,1.6,,1,1,,,,,,A,
SDCH_20140318_0012.fits,,,CAL,20140318,13:55:31,1.6,,1,1,,,,,,A,
SDCH_20140318_0013.fits,,,CAL,20140318,13:56:25,1.6,,1,1,,,,,,A,
SDCH_20140318_0014.fits,,,CAL,20140318,13:56:51,1.6,,1,1,,,,,,A,
SDCH_20140318_0015.fits,,,CAL,20140318,13:57:14,1.6,,1,1,,,,,,A,
SDCH_20140318_0016.fits,,,CAL,20140318,13:57:42,1.6,,1,1,,,,,,A,
SDCH_20140318_0017.fits,,,CAL,20140318,13:58:09,1.6,,1,1,,,,,,A,
SDCH_20140318_0018.fits,,,CAL,20140318,13:58:37,1.6,,1,1,,,,,,A,
SDCH_20140318_0019.fits,,,CAL,20140318,13:59:05,1.6,,1,1,,,,,,A,
SDCH_20140318_0020.fits,,,CAL,20140318,13:59:32,1.6,,1,1,,,,,,A,
SDCH_20140318_0021.fits,,,CAL,20140318,14:00:02,1.6,,1,1,,,,,,A,
SDCH_20140318_0022.fits,,,CAL,20140318,14:00:28,1.6,,1,1,,,,,,A,
SDCH_20140318_0023.fits,,,CAL,20140318,14:03:02,1.6,,1,1,,,,,,A,
