McDonald/IGRINS Observation Log - K BAND
FILENAME,OBJNAME,OBSERVER,OBJTYPE,OBSDATE,OBSTIME,EXPTIME,FRAMETYPE,SEQID1,SEQID2,ALT,AZI,RA,DEC,EPOCH,AGPOS,ROTPA
SDCK_20140318_0001.fits,,,CAL,20140318,13:25:05,1.6,,1,1,,,,,,A,
SDCK_20140318_0002.fits,,,CAL,20140318,13:38:18,1.6,,1,1,,,,,,A,
SDCK_20140318_0003.fits,,,CAL,20140318,13:39:53,1.6,,1,1,,,,,,A,
SDCK_20140318_0004.fits,,,CAL,20140318,13:40:04,1.6,,1,1,,,,,,A,
SDCK_20140318_0005.fits,,,CAL,20140318,13:41:27,1.6,,1,1,,,,,,A,
SDCK_20140318_0006.fits,,,CAL,20140318,13:41:54,1.6,,1,1,,,,,,A,
SDCK_20140318_0007.fits,,,CAL,20140318,13:42:22,1.6,,1,1,,,,,,A,
SDCK_20140318_0008.fits,,,CAL,20140318,13:44:42,1.6,,1,1,,,,,,A,
SDCK_20140318_0009.fits,,,CAL,20140318,13:44:54,1.6,,1,1,,,,,,A,
SDCK_20140318_0010.fits,,,CAL,20140318,13:45:05,1.6,,1,1,,,,,,A,
SDCK_20140318_0011.fits,,,CAL,20140318,13:56:26,1.6,,1,1,,,,,,A,
SDCK_20140318_0012.fits,,,CAL,20140318,13:56:35,1.6,,1,1,,,,,,A,
SDCK_20140318_0013.fits,,,CAL,20140318,13:57:16,1.6,,1,1,,,,,,A,
SDCK_20140318_0014.fits,,,CAL,20140318,13:57:44,1.6,,1,1,,,,,,A,
SDCK_20140318_0015.fits,,,CAL,20140318,13:58:11,1.6,,1,1,,,,,,A,
SDCK_20140318_0016.fits,,,CAL,20140318,13:58:39,1.6,,1,1,,,,,,A,
SDCK_20140318_0017.fits,,,CAL,20140318,13:59:07,1.6,,1,1,,,,,,A,
SDCK_20140318_0018.fits,,,CAL,20140318,13:59:34,1.6,,1,1,,,,,,A,
SDCK_20140318_0019.fits,,,CAL,20140318,13:59:46,1.6,,1,1,,,,,,A,
SDCK_20140318_0020.fits,,,CAL,20140318,14:00:29,1.6,,1,1,,,,,,A,
SDCK_20140318_0021.fits,,,CAL,20140318,14:03:04,1.6,,1,1,,,,,,A,
SDCK_20140318_0022.fits,,,CAL,20140318,14:03:31,1.6,,1,1,,,,,,A,
SDCK_20140318_0023.fits,,,CAL,20140318,14:03:59,1.6,,1,1,,,,,,A,
